State,latitude,longitude,Sales,Average Selling Price
Alabama,32.31823,-86.902298,25,"$9,440.00"
Arizona,34.048927,-111.093735,7612,"$12,168.61"
California,36.778259,-119.417931,66213,"$14,895.26"
Colorado,39.113014,-105.358887,6270,"$15,745.50"
Florida,27.994402,-81.760254,75243,"$14,331.42"
Georgia,33.247875,-83.441162,30939,"$12,840.07"
Hawaii,19.741755,-155.844437,1205,"$12,366.51"
Illinois,40.0,-89.0,21494,"$15,404.14"
Indiana,40.273502,-86.126976,3879,"$10,959.65"
Louisiana,30.39183,-91.18747,1744,"$11,159.72"
Maryland,39.045753,-76.641273,9788,"$7,713.60"
Michigan,44.182205,-84.506836,14185,"$15,182.07"
Minnesota,46.39241,-94.63623,8627,"$14,313.55"
Missouri,38.573936,-92.60376,15286,"$14,694.78"
Mississippi,33.0,-90.0,1730,"$11,502.42"
North Carolina,35.782169,-80.793457,18731,"$8,696.68"
Nebraska,41.492537,-99.90181,3685,"$13,242.50"
New Jersey,39.833851,-74.405661,23003,"$13,621.13"
New Mexico,34.307144,-106.018066,163,"$6,479.75"
Nevada,39.876019,-116.419389,11682,"$15,576.32"
New York,43.299428,-74.217933,4749,"$12,589.25"
Ohio,40.417287,-82.90712,20294,"$14,459.13"
Oklahoma,36.084621,-96.921387,54,"$7,448.15"
Oregon,43.804133,-120.554153,1047,"$11,959.57"
Pennsylvania,41.203323,-77.194527,24117,"$14,007.94"
Puerto Rico,18.220833,-66.590149,2427,"$9,755.17"
South Carolina,33.836082,-81.163727,3754,"$10,747.56"
Tennessee,35.860119,-86.580447,19183,"$17,285.15"
Texas,31.0,-100.0,41657,"$13,574.51"
Utah,39.41922,-111.888237,1716,"$12,491.60"
Virginia,37.926868,-78.898619,9448,"$8,416.67"
Washington,47.751076,-120.740139,7012,"$14,327.87"
Wisconsin,44.5,-89.5,9196,"$14,105.26"
